Proposal ID,Investigator1,Investigator2
GRT00028787,"Ahmad, Rizwan","Samouilov, Alexandre"
GRT00028787,"Eubank, Tim","Samouilov, Alexandre"
GRT00028789,"Alevriadou, Barbara Rita","Gavrilin, Mikhail"
GRT00028790,"He, Guanglong","Sen, Chandan K"
GRT00028790,"He, Guanglong","Sun, Qinghua"
GRT00028790,"Sen, Chandan K","Sun, Qinghua"
GRT00028795,"Ying, Zhekang","Xu, Xiaohua"
GRT00028800,"Bal, Naresh Chandra","Periasamy, Muthu"
GRT00028801,"Toribio, Ramiro Eliseo","Hurcombe, Samuel D."
GRT00028803,"Khramtsov, Valery V","Dhimitruka, Ilirian"
GRT00028803,"Khramtsov, Valery V","Eubank, Tim"
GRT00028803,"Khramtsov, Valery V","Samouilov, Alexandre"
GRT00028803,"Dhimitruka, Ilirian","Eubank, Tim"
GRT00028803,"Dhimitruka, Ilirian","Samouilov, Alexandre"
GRT00028803,"Eubank, Tim","Samouilov, Alexandre"
GRT00028805,"Liu, Bin","Gyorke, Sandor"
GRT00028807,"Lou, Qing","Gyorke, Sandor"
GRT00028809,"Brunello, Lucia","Gyorke, Sandor"
GRT00028811,"Yoon, Sung Ok","Young, Anthony Peter"
GRT00028812,"Delfin, Dawn Athelsia","Janssen, Paul M"
GRT00028813,"Saini, Uksha","Boudoulas, Konstantinos Dean"
GRT00028813,"Saini, Uksha","Mohler, Peter John"
GRT00028813,"Boudoulas, Konstantinos Dean","Mohler, Peter John"
GRT00028816,"Herms, Daniel A","Stone, Amy Kathleen"
GRT00028822,"Costin, Rodica D","Snapp, Bart E."
GRT00028823,"Apsley, David K","Iles, Jerome"
GRT00028829,"Ho, Tin-Lun","Trivedi, Nandini"
GRT00028831,"Ford, Jodi L","Browning, Christopher R"
GRT00028831,"Ford, Jodi L","Cooksey, Elizabeth Constance"
GRT00028831,"Ford, Jodi L","McCarthy, Donna"
GRT00028831,"Ford, Jodi L","Szalacha, Laura A"
GRT00028831,"Browning, Christopher R","Cooksey, Elizabeth Constance"
GRT00028831,"Browning, Christopher R","McCarthy, Donna"
GRT00028831,"Browning, Christopher R","Szalacha, Laura A"
GRT00028831,"Cooksey, Elizabeth Constance","McCarthy, Donna"
GRT00028831,"Cooksey, Elizabeth Constance","Szalacha, Laura A"
GRT00028831,"McCarthy, Donna","Szalacha, Laura A"
GRT00028832,"Obrietan, Karl H","Nelson, Randy J"
GRT00028833,"McDougle, Leon","Goldstein, Howard"
GRT00028833,"McDougle, Leon","Nagel, Rollin William"
GRT00028833,"McDougle, Leon","O'Connell, Ann A."
GRT00028833,"Goldstein, Howard","Nagel, Rollin William"
GRT00028833,"Goldstein, Howard","O'Connell, Ann A."
GRT00028833,"Nagel, Rollin William","O'Connell, Ann A."
GRT00028836,"Zhong, Jixin","Rajagopalan, Sanjay"
GRT00028837,"Arnold, L Eugene","Aman, Michael George"
GRT00028837,"Arnold, L Eugene","Failla, Mark L"
GRT00028837,"Arnold, L Eugene","Hurt, Elizabeth A"
GRT00028837,"Arnold, L Eugene","Pan, Xueliang"
GRT00028837,"Aman, Michael George","Failla, Mark L"
GRT00028837,"Aman, Michael George","Hurt, Elizabeth A"
GRT00028837,"Aman, Michael George","Pan, Xueliang"
GRT00028837,"Failla, Mark L","Hurt, Elizabeth A"
GRT00028837,"Failla, Mark L","Pan, Xueliang"
GRT00028837,"Hurt, Elizabeth A","Pan, Xueliang"
